issuer_code,day_week,violation_category,count
341980,2,4,4
341980,2,5,35
341980,3,2,533
341980,3,3,23
341980,3,4,10
341980,3,5,36
341980,4,2,477
341980,4,3,28
341980,4,5,35
341980,5,2,418
341980,5,3,23
341980,5,4,1
341980,5,5,24
341980,6,1,9
341980,6,2,243
341980,6,3,40
341980,6,4,1
341980,6,5,30
341980,6,6,4
342966,1,1,4
342966,1,2,545
342966,1,3,94
342966,1,5,22
342966,2,1,9
342966,2,2,938
342966,2,3,140
342966,2,5,26
342966,3,1,7
342966,3,2,734
342966,3,3,124
342966,3,5,18
342966,4,1,10
342966,4,2,691
342966,4,3,97
342966,4,5,14
342966,5,1,1
342966,5,2,704
342966,5,3,76
342966,5,5,20
342966,6,2,150
342966,6,3,29
342966,6,5,2
343918,1,1,318
343918,1,2,322
343918,1,3,32
343918,1,5,66
343918,2,1,380
343918,2,2,267
343918,2,3,93
343918,2,5,57
343918,3,1,53
343918,3,2,267
343918,3,3,84
343918,3,5,68
343918,4,1,305
343918,4,2,224
343918,4,3,61
343918,4,5,57
343918,5,1,285
343918,5,2,274
343918,5,3,46
343918,5,5,90
343918,6,1,156
343918,6,2,199
343918,6,3,29
343918,6,5,41
343918,7,2,68
343918,7,3,1
343918,7,5,1
344778,1,1,383
344778,1,2,185
344778,1,3,46
344778,1,5,24
344778,2,1,459
344778,2,2,316
344778,2,3,41
344778,2,4,1
344778,2,5,31
344778,3,1,171
344778,3,2,339
344778,3,3,51
344778,3,4,2
344778,3,5,35
344778,4,1,444
344778,4,2,297
344778,4,3,53
344778,4,4,1
344778,4,5,38
344778,5,1,480
344778,5,2,369
344778,5,3,53
344778,5,5,42
344778,6,1,277
344778,6,2,532
344778,6,3,34
344778,6,4,2
344778,6,5,132
344778,7,2,697
344778,7,3,58
344778,7,5,65
345221,1,1,428
345221,1,2,276
345221,1,3,21
345221,1,4,1
345221,1,5,42
345221,2,1,499
345221,2,2,349
345221,2,3,46
345221,2,4,1
345221,2,5,69
345221,3,1,59
345221,3,2,435
345221,3,3,41
345221,3,4,23
345221,3,5,93
345221,4,1,395
345221,4,2,440
345221,4,3,44
345221,4,4,9
345221,4,5,46
345221,5,1,533
345221,5,2,408
345221,5,3,28
345221,5,4,1
345221,5,5,47
345221,6,1,43
345221,6,2,104
345221,6,3,16
345221,6,5,27
345221,7,2,77
345221,7,3,14
345221,7,5,8
345238,1,1,197
345238,1,2,264
345238,1,3,103
345238,1,4,21
345238,1,5,100
345238,2,1,170
345238,2,2,307
345238,2,3,186
345238,2,4,10
345238,2,5,124
345238,3,1,88
345238,3,2,241
345238,3,3,166
