issuer_code,day_week,violation_code,count
330692,1,71,12
330692,1,74,3
330692,1,82,1
330692,1,84,7
330692,2,9,2
330692,2,10,7
330692,2,11,3
330692,2,13,7
330692,2,14,234
330692,2,16,32
330692,2,17,7
330692,2,18,18
330692,2,19,21
330692,2,20,43
330692,2,21,53
330692,2,31,40
330692,2,37,20
330692,2,38,18
330692,2,40,33
330692,2,46,10
330692,2,47,72
330692,2,48,21
330692,2,50,3
330692,2,52,2
330692,2,53,2
330692,2,64,39
330692,2,69,93
330692,2,70,1
330692,2,71,6
330692,2,74,2
330692,2,82,2
330692,2,84,11
330692,3,10,2
330692,3,11,3
330692,3,13,6
330692,3,14,192
330692,3,16,18
330692,3,17,2
330692,3,18,11
330692,3,19,11
330692,3,20,18
330692,3,31,29
330692,3,37,15
330692,3,38,13
330692,3,40,17
330692,3,46,7
330692,3,47,46
330692,3,48,12
330692,3,50,5
330692,3,64,30
330692,3,67,1
330692,3,69,97
330692,3,71,7
330692,3,74,4
330692,3,84,9
330692,4,9,8
330692,4,10,8
330692,4,11,1
330692,4,13,13
330692,4,14,207
330692,4,16,26
330692,4,17,2
330692,4,18,16
330692,4,19,22
330692,4,20,38
330692,4,21,51
330692,4,31,47
330692,4,37,16
330692,4,38,10
330692,4,40,30
330692,4,46,8
330692,4,47,58
330692,4,48,14
330692,4,50,7
330692,4,64,35
330692,4,67,1
330692,4,69,89
330692,4,70,6
330692,4,71,12
330692,4,74,3
330692,4,84,5
330692,5,10,7
330692,5,11,3
330692,5,13,10
330692,5,14,212
330692,5,16,26
330692,5,17,3
330692,5,18,23
330692,5,19,22
330692,5,20,30
330692,5,21,57
330692,5,31,38
330692,5,32,2
330692,5,37,20
330692,5,38,22
330692,5,40,29
330692,5,46,7
330692,5,47,62
330692,5,48,19
330692,5,50,2
330692,5,52,1
330692,5,64,38
330692,5,67,1
330692,5,69,104
330692,5,70,2
330692,5,71,10
330692,5,74,5
330692,5,84,7
330692,6,10,2
330692,6,11,2
330692,6,13,3
330692,6,14,66
330692,6,16,33
330692,6,17,2
330692,6,19,9
330692,6,20,14
330692,6,21,2
330692,6,31,16
330692,6,37,13
330692,6,38,32
330692,6,40,41
330692,6,46,6
330692,6,47,31
330692,6,48,1
330692,6,50,3
