issuer_code,day_week,violation_category,count
341891,2,4,14
341891,2,5,180
341891,3,2,156
341891,3,3,49
341891,3,4,33
341891,3,5,172
341891,4,2,97
341891,4,3,39
341891,4,4,13
341891,4,5,134
341891,5,2,107
341891,5,3,32
341891,5,4,8
341891,5,5,180
341964,1,2,191
341964,1,3,39
341964,1,4,29
341964,1,5,255
341964,2,2,169
341964,2,3,52
341964,2,4,18
341964,2,5,222
341964,3,2,157
341964,3,3,34
341964,3,4,15
341964,3,5,186
341964,4,2,135
341964,4,3,41
341964,4,4,21
341964,4,5,183
341964,5,2,127
341964,5,3,47
341964,5,4,20
341964,5,5,178
341964,6,2,5
341964,6,4,3
341964,6,5,4
343455,1,1,9
343455,1,2,126
343455,1,3,25
343455,1,4,14
343455,1,5,87
343455,2,1,3
343455,2,2,127
343455,2,3,29
343455,2,4,12
343455,2,5,95
343455,2,6,7
343455,3,1,2
343455,3,2,99
343455,3,3,25
343455,3,4,7
343455,3,5,57
343455,3,6,11
343455,4,1,16
343455,4,2,88
343455,4,3,20
343455,4,4,5
343455,4,5,69
343455,4,6,10
343455,5,1,9
343455,5,2,124
343455,5,3,30
343455,5,4,5
343455,5,5,81
343455,5,6,14
343455,6,2,101
343455,6,3,14
343455,6,4,9
343455,6,5,61
343455,7,2,150
343455,7,3,3
343455,7,5,46
343455,7,6,1
343930,1,1,117
343930,1,2,88
343930,1,3,17
343930,1,4,12
343930,1,5,67
343930,2,1,127
343930,2,2,111
343930,2,3,20
343930,2,4,26
343930,2,5,82
343930,3,1,10
343930,3,2,94
343930,3,3,14
343930,3,4,18
343930,3,5,71
343930,4,1,94
343930,4,2,109
343930,4,3,16
343930,4,4,20
343930,4,5,59
343930,5,1,107
343930,5,2,84
343930,5,3,6
343930,5,4,6
343930,5,5,68
345369,1,2,184
345369,1,3,55
345369,1,4,4
345369,1,5,136
345369,2,2,211
345369,2,3,62
345369,2,4,6
345369,2,5,120
345369,3,2,177
345369,3,3,65
345369,3,4,12
345369,3,5,131
345369,4,2,170
345369,4,3,67
345369,4,4,15
345369,4,5,139
345369,5,2,149
345369,5,3,67
345369,5,4,4
345369,5,5,126
345369,6,2,57
345369,6,3,25
