Issuer_id,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,5_11,5_12,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10,6_11,6_12
358194,0,0,175,286,47,44,16,0,0,0,0,0,12,35,108,221,124,84,163,795,513,358,689,161,1,3,16,53,34,15,42,169,107,40,22,7,0,0,9,123,78,30,37,224,260,140,86,59,3,19,137,314,127,61,93,341,321,202,101,62,0,0,0,0,0,0,0,0,0,0,0,0
358617,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,42,67,133,369,216,182,282,165,0,0,1,0,6,13,27,59,35,23,25,19,0,0,1,0,1,1,94,311,257,135,303,203,0,1,3,6,24,37,200,503,310,205,452,315,0,1,0,0,0,1,2,5,1,1,3,2
356565,0,10,462,506,70,188,62,0,0,0,0,0,70,291,364,195,95,108,67,5,0,0,0,0,13,85,165,83,17,34,13,3,0,0,0,0,0,0,0,9,39,107,29,1,0,0,0,0,73,344,496,338,85,65,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341943,0,0,0,0,0,0,0,0,0,0,0,0,1,38,124,190,107,157,142,231,192,162,135,77,1,20,42,55,43,51,54,66,37,32,24,9,0,1,10,31,26,25,65,92,70,55,35,47,4,61,145,175,102,83,129,223,145,118,83,92,0,2,8,7,1,0,6,9,7,2,4,1
358594,0,3,18,0,0,0,0,0,0,0,0,0,0,12,101,114,65,29,180,481,355,208,181,130,0,4,40,49,40,29,59,174,112,57,42,27,0,0,20,40,23,31,91,289,214,153,101,88,0,4,148,211,135,69,160,518,353,246,154,157,0,0,10,2,0,1,1,22,14,8,6,0
357724,0,0,16,38,7,37,0,0,0,0,0,0,9,23,61,135,88,65,115,475,317,291,363,226,0,7,23,66,41,9,58,230,139,58,42,18,0,0,2,45,72,21,48,183,236,164,106,80,0,16,68,132,157,64,87,263,298,232,207,75,0,0,0,0,0,0,0,0,0,0,0,0
355283,0,99,148,477,23,196,0,0,0,0,0,0,447,743,790,517,362,183,37,19,7,0,0,0,98,79,121,89,82,27,6,2,0,0,0,0,0,0,1,6,14,2,1,0,0,0,0,0,57,113,103,149,93,41,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358873,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,16,9,7,65,305,329,253,287,271,0,2,7,9,7,5,40,160,100,69,31,31,0,0,2,1,2,3,8,80,102,56,30,37,0,5,9,10,6,8,37,182,194,132,60,71,0,0,0,0,1,0,0,12,8,2,1,1
356314,0,0,0,16,22,317,13,0,0,0,0,0,0,0,9,50,100,120,140,157,100,62,48,25,0,0,0,4,8,9,18,18,7,8,2,2,0,0,1,17,408,282,458,420,319,317,193,184,0,0,22,116,347,267,326,369,247,266,198,177,0,0,0,0,0,0,0,0,0,0,0,0
340051,0,26,2,0,1,6,0,0,0,0,0,0,337,622,880,1012,878,280,144,245,343,195,23,0,17,23,72,122,140,69,36,108,80,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,8,10,12,2,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345221,83,318,437,594,184,647,42,0,0,0,0,0,296,715,422,366,174,146,32,86,73,39,13,1,36,16,21,24,28,35,7,27,19,16,3,0,0,0,12,9,8,5,0,0,1,1,0,0,81,68,75,50,33,46,9,10,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
353424,0,25,127,357,5,501,13,0,0,0,0,0,19,402,535,423,505,325,277,82,76,46,53,22,6,33,51,40,48,47,47,8,7,0,1,1,0,0,0,4,3,3,4,1,0,0,0,0,1,34,47,99,52,47,49,16,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
356259,0,0,0,0,0,0,6,0,0,0,0,0,1,4,2,6,51,181,60,631,1028,461,317,198,1,0,0,0,2,5,7,63,50,17,18,13,0,0,0,0,2,0,0,31,39,15,7,1,0,1,0,5,12,18,13,201,175,82,44,42,0,0,0,0,0,0,0,0,0,0,0,0
355144,0,0,52,5,0,1,0,0,0,0,0,0,533,627,476,477,310,74,31,24,5,13,4,0,175,139,152,167,130,25,8,2,4,1,0,0,1,1,2,9,9,1,0,0,0,0,0,0,263,335,162,184,125,29,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,115,193,882,742,520,551,312,0,0,0,0,0,1,11,75,59,44,16,7,0,0,0,0,0,0,23,160,156,154,70,64,0,0,0,0,8,22,56,239,249,183,94,73,0,0,0,0,1,1,5,69,31,14,4,3
357751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21,619,656,449,343,173,0,0,0,0,0,0,13,164,187,108,84,37,0,0,0,0,0,0,8,251,209,150,95,41,0,0,0,0,2,1,24,353,366,242,123,56,0,0,0,0,0,0,0,25,27,11,9,1
330001,0,1,15,0,88,41,0,0,0,0,0,0,423,613,645,820,513,337,148,148,144,102,50,1,28,103,81,137,114,67,11,15,20,8,1,0,0,0,0,2,2,1,0,0,0,0,0,0,19,38,25,43,32,22,5,3,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
357802,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,9,13,23,39,475,440,329,290,223,0,2,2,2,3,15,14,134,116,62,30,41,0,0,0,1,3,3,10,115,75,61,39,39,0,3,12,4,9,12,19,194,106,90,64,68,0,0,0,0,0,0,0,0,3,0,0,0
358187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,194,810,331,140,304,160,0,0,0,0,0,2,44,93,47,20,22,23,0,0,0,0,0,0,51,140,141,66,92,106,0,0,2,1,7,2,88,225,195,124,143,179,0,0,0,0,0,0,0,0,0,0,0,0
351274,0,0,2,0,15,0,0,0,0,0,0,0,859,1030,793,706,268,98,87,713,330,56,6,5,70,97,138,128,101,31,38,265,90,16,3,0,0,1,3,2,1,0,1,7,0,0,0,0,97,144,107,59,29,9,7,53,21,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
345331,3,264,595,504,34,520,8,0,0,0,0,0,347,651,203,110,82,59,24,0,2,1,2,1,97,67,30,36,33,31,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,111,175,165,79,64,10,0,0,0,0,0,28,17,2,4,6,0,1,0,0,0,0,0
356214,1,71,259,695,46,68,11,0,0,0,0,0,12,169,210,214,55,37,29,36,18,10,10,4,1,4,15,13,4,5,3,9,8,3,0,0,0,0,425,149,109,62,62,71,44,39,19,9,34,57,555,367,333,79,75,60,43,42,25,13,0,0,0,0,0,0,0,0,0,0,0,0
357360,0,0,5,0,0,0,0,0,0,0,0,0,2,16,305,867,56,63,1312,625,413,208,268,125,1,0,23,23,3,6,38,41,26,4,7,5,0,1,4,16,2,6,170,321,206,115,188,111,1,4,57,24,19,22,257,372,212,135,165,121,0,0,0,0,0,0,0,0,0,0,0,0
349850,152,212,942,815,82,751,9,0,0,0,0,0,260,586,252,94,60,68,16,0,0,0,0,0,65,63,65,59,87,53,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,124,117,238,70,41,12,0,0,0,0,0,7,27,0,2,4,1,2,0,0,0,0,0
