issuer_code,type_day,day_period,violation_code,count
345560,Weekend,AM,17,2
345560,Weekend,AM,19,21
345560,Weekend,AM,20,50
345560,Weekend,AM,21,83
345560,Weekend,AM,38,5
345560,Weekend,AM,40,80
345560,Weekend,AM,46,5
345560,Weekend,AM,71,29
345560,Weekend,PM,14,1
345560,Weekend,PM,19,2
345560,Weekend,PM,20,1
345560,Weekend,PM,40,2
346105,Week,AM,14,169
346105,Week,AM,16,58
346105,Week,AM,17,53
346105,Week,AM,19,123
346105,Week,AM,20,926
346105,Week,AM,21,2097
346105,Week,AM,37,13
346105,Week,AM,38,143
346105,Week,AM,40,162
346105,Week,AM,46,120
346105,Week,AM,71,150
346105,Week,PM,14,107
346105,Week,PM,16,19
346105,Week,PM,17,19
346105,Week,PM,19,57
346105,Week,PM,20,97
346105,Week,PM,21,21
346105,Week,PM,37,88
346105,Week,PM,38,107
346105,Week,PM,40,72
346105,Week,PM,46,190
346105,Week,PM,71,80
346105,Weekend,AM,14,46
346105,Weekend,AM,16,19
346105,Weekend,AM,17,5
346105,Weekend,AM,19,35
346105,Weekend,AM,20,159
346105,Weekend,AM,21,127
346105,Weekend,AM,37,1
346105,Weekend,AM,38,55
346105,Weekend,AM,40,71
346105,Weekend,AM,46,19
346105,Weekend,AM,71,67
346105,Weekend,PM,14,2
346105,Weekend,PM,16,1
346105,Weekend,PM,17,1
346105,Weekend,PM,19,4
346105,Weekend,PM,20,10
346105,Weekend,PM,38,1
346105,Weekend,PM,40,5
346105,Weekend,PM,46,5
346105,Weekend,PM,71,2
346109,Week,AM,14,1393
346109,Week,AM,16,15
346109,Week,AM,17,25
346109,Week,AM,19,88
346109,Week,AM,20,42
346109,Week,AM,31,350
346109,Week,AM,40,23
346109,Week,AM,42,17
346109,Week,AM,46,206
346109,Week,AM,47,260
346109,Week,AM,69,211
346109,Week,AM,71,2
346109,Week,PM,14,54
346109,Week,PM,16,20
346109,Week,PM,19,2
346109,Week,PM,20,14
346109,Week,PM,31,25
346109,Week,PM,42,1
346109,Week,PM,46,3
346109,Week,PM,47,2
346109,Week,PM,69,4
346109,Weekend,AM,14,55
346109,Weekend,AM,16,5
346109,Weekend,AM,17,1
346109,Weekend,AM,19,12
346109,Weekend,AM,20,4
