Issuer_id,Week_AM_14_,Week_AM_38_,Week_AM_69_,Week_AM_21_,Week_AM_37_,Week_AM_20_,Week_AM_31_,Week_AM_16_,Week_AM_46_,Week_AM_40_,Week_AM_47_,Week_AM_19_,Week_AM_42_,Week_AM_71_,Week_AM_17_,Week_PM_14_,Week_PM_38_,Week_PM_69_,Week_PM_21_,Week_PM_37_,Week_PM_20_,Week_PM_31_,Week_PM_16_,Week_PM_46_,Week_PM_40_,Week_PM_47_,Week_PM_19_,Week_PM_42_,Week_PM_71_,Week_PM_17_,Weekend_AM_14_,Weekend_AM_38_,Weekend_AM_69_,Weekend_AM_21_,Weekend_AM_37_,Weekend_AM_20_,Weekend_AM_31_,Weekend_AM_16_,Weekend_AM_46_,Weekend_AM_40_,Weekend_AM_47_,Weekend_AM_19_,Weekend_AM_42_,Weekend_AM_71_,Weekend_AM_17_,Weekend_PM_14_,Weekend_PM_38_,Weekend_PM_69_,Weekend_PM_21_,Weekend_PM_37_,Weekend_PM_20_,Weekend_PM_31_,Weekend_PM_16_,Weekend_PM_46_,Weekend_PM_40_,Weekend_PM_47_,Weekend_PM_19_,Weekend_PM_42_,Weekend_PM_71_,Weekend_PM_17_
352012,384,4,477,0,0,0,34,6,1,8,166,57,2,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356498,127,245,61,146,71,100,8,265,28,124,18,30,12,34,9,43,54,8,8,21,11,4,36,53,60,5,15,5,8,5,8,32,0,5,6,9,0,2,10,67,0,2,0,34,0,6,11,0,0,8,2,0,5,5,5,0,5,2,2,1
358840,1,8,0,1,4,1,0,2,0,0,0,1,0,1,0,79,688,2,11,791,54,2,75,7,94,0,34,3,66,12,1,40,0,0,13,1,0,0,0,1,0,0,0,0,0,0,12,0,0,12,1,0,2,0,0,0,0,0,1,0
926560,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,185,0,0,4,0,42,2,10,110,5,5,27,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,1,0,0,0,1,0,0
355603,325,310,274,103,141,125,86,149,16,75,50,28,50,55,20,30,68,5,7,41,36,7,43,21,29,2,13,1,12,1,40,148,20,5,12,30,11,37,4,21,1,1,0,25,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0
916949,0,1,5,2,2,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926024,75,1,0,96,1,34,0,0,866,33,0,78,0,2,2,20,0,0,2,0,3,0,0,122,4,0,9,0,0,0,4,0,0,2,0,0,0,0,23,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
356310,407,17,493,6,2,2,95,8,24,15,226,30,98,12,20,40,14,102,0,11,1,46,2,1,5,40,4,44,5,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,2,0,2,0,0
355604,259,134,3,733,53,51,1,744,13,44,0,44,0,42,2,28,24,0,14,18,10,1,29,25,16,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355682,51,1,6,0,0,33,11,5,4,4,4,3,1,2,11,364,8,16,0,2,81,32,40,34,28,27,17,8,14,67,67,15,11,16,0,42,7,15,13,6,16,5,1,0,8,21,0,2,0,0,5,1,3,1,2,1,2,0,0,5
