Issuer_id,1_1_,1_2_,1_3_,1_4_,1_5_,1_6_,2_1_,2_2_,2_3_,2_4_,2_5_,2_6_,3_1_,3_2_,3_3_,3_4_,3_5_,3_6_,4_1_,4_2_,4_3_,4_4_,4_5_,4_6_,5_1_,5_2_,5_3_,5_4_,5_5_,5_6_,6_1_,6_2_,6_3_,6_4_,6_5_,6_6_,7_1_,7_2_,7_3_,7_4_,7_5_,7_6_
346166,0,189,66,30,164,0,0,175,71,23,165,0,0,191,66,33,165,0,0,193,56,36,164,0,0,192,71,26,164,0,2,245,131,5,142,0,0,15,2,0,1,0
346167,0,171,63,37,180,0,0,206,73,24,200,0,0,140,64,28,155,0,0,155,65,35,180,0,0,163,82,30,170,0,0,7,0,1,8,0,0,0,0,0,0,0
355316,7,45,5,6,23,0,144,97,11,61,67,0,0,24,1,3,25,0,0,35,4,28,31,0,34,4,1,16,7,0,3,61,10,4,62,0,0,78,16,0,64,0
341964,0,191,39,29,255,0,0,169,52,18,222,0,0,157,34,15,186,0,0,135,41,21,183,0,0,127,47,20,178,0,0,5,0,3,4,0,0,0,0,0,0,0
346204,17,220,36,0,8,11,8,201,60,0,22,5,7,215,77,0,25,4,21,227,53,0,24,9,13,190,69,0,16,9,0,59,24,0,1,21,0,23,2,0,0,3
358928,68,96,22,100,110,0,46,85,27,85,122,0,9,98,27,105,117,0,58,77,22,102,118,0,70,71,19,110,121,0,0,0,0,0,0,0,0,0,0,0,0,0
349904,0,241,66,12,126,0,0,243,46,19,170,0,0,230,53,15,120,0,0,226,46,21,108,0,0,190,50,19,128,0,0,38,18,5,42,0,0,0,0,0,0,0
356276,175,89,28,49,112,0,256,104,25,46,128,0,0,154,22,77,137,0,165,111,16,67,137,0,208,108,32,58,139,0,6,5,1,5,10,0,0,0,0,0,0,0
351262,4,169,36,96,147,0,3,191,31,77,150,0,0,186,25,88,132,0,0,145,30,84,129,0,3,223,48,71,122,0,0,2,1,4,9,0,0,27,1,0,6,0
346192,0,158,38,29,191,0,0,144,41,34,216,0,0,140,31,27,165,0,0,27,9,4,47,0,0,115,34,20,124,0,0,0,0,0,0,0,0,25,4,0,0,0
357377,0,173,97,30,235,0,0,174,120,29,206,0,0,164,104,39,188,0,0,141,66,29,197,0,0,191,95,34,200,0,0,0,0,0,0,0,0,0,0,0,0,0
358889,0,102,126,118,168,0,0,90,116,116,154,0,0,100,123,131,137,0,0,78,163,138,163,0,0,86,140,128,162,0,0,2,4,5,9,0,0,0,0,0,0,0
355418,0,91,28,22,269,9,1,123,40,23,365,1,0,108,47,18,315,1,0,98,41,23,279,1,0,87,49,25,259,5,0,115,87,11,144,0,0,3,2,0,2,0
347679,0,141,46,1,147,0,0,139,72,0,203,0,0,138,39,0,188,0,0,170,39,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
