issuer_code,type_day,violation_category,count
353512,Week,2,475
353512,Week,3,212
353512,Week,4,564
353512,Week,5,864
353512,Weekend,2,82
353512,Weekend,3,27
353512,Weekend,4,143
353512,Weekend,5,299
354048,Week,2,819
354048,Week,3,115
354048,Week,4,120
354048,Week,5,185
354048,Week,6,18
354150,Week,2,949
354150,Week,3,411
354150,Week,4,124
354150,Week,5,775
354150,Week,6,1
354150,Weekend,2,64
354150,Weekend,3,25
354150,Weekend,4,21
354150,Weekend,5,111
355057,Week,1,1
355057,Week,2,1124
355057,Week,3,229
355057,Week,4,127
355057,Week,5,250
355057,Weekend,1,24
355057,Weekend,2,135
355057,Weekend,3,30
355057,Weekend,4,2
355057,Weekend,5,31
355135,Week,1,729
355135,Week,2,659
355135,Week,3,378
355135,Week,4,57
355135,Week,5,500
355207,Week,2,595
355207,Week,3,408
355207,Week,4,64
355207,Week,5,199
355208,Week,1,1
355208,Week,2,1293
355208,Week,3,278
355208,Week,4,194
355208,Week,5,283
355208,Weekend,2,43
355208,Weekend,3,26
355208,Weekend,5,4
355226,Week,1,27
355226,Week,2,622
355226,Week,3,339
355226,Week,4,217
355226,Week,5,1022
355226,Weekend,2,9
355226,Weekend,3,2
355226,Weekend,5,8
355231,Week,1,27
