issuer_code,day_week,day_period,violation_code,count
330692,5,PM,20,3
330692,5,PM,31,10
330692,5,PM,37,9
330692,5,PM,40,6
330692,5,PM,46,4
330692,5,PM,47,6
330692,5,PM,69,16
330692,5,PM,71,1
330692,6,AM,14,23
330692,6,AM,16,5
330692,6,AM,19,2
330692,6,AM,20,8
330692,6,AM,21,2
330692,6,AM,31,7
330692,6,AM,37,5
330692,6,AM,38,17
330692,6,AM,40,21
330692,6,AM,46,2
330692,6,AM,47,9
330692,6,AM,69,39
330692,6,AM,71,12
330692,6,PM,14,43
330692,6,PM,16,28
330692,6,PM,17,2
330692,6,PM,19,7
330692,6,PM,20,6
330692,6,PM,31,9
330692,6,PM,37,8
330692,6,PM,38,15
330692,6,PM,40,20
330692,6,PM,46,4
330692,6,PM,47,22
330692,6,PM,69,25
330692,6,PM,71,7
330692,7,AM,14,32
330692,7,AM,16,1
330692,7,AM,17,1
330692,7,AM,19,11
330692,7,AM,20,7
330692,7,AM,40,48
330692,7,AM,46,8
330692,7,AM,47,9
330692,7,AM,71,2
330692,7,PM,14,33
330692,7,PM,16,10
330692,7,PM,17,3
330692,7,PM,19,24
330692,7,PM,20,8
330692,7,PM,40,50
330692,7,PM,46,11
330692,7,PM,47,4
330692,7,PM,71,7
331220,1,AM,14,59
331220,1,AM,16,6
331220,1,AM,17,6
331220,1,AM,19,5
331220,1,AM,20,12
331220,1,AM,21,91
331220,1,AM,31,67
331220,1,AM,37,2
331220,1,AM,38,9
331220,1,AM,40,13
331220,1,AM,42,6
331220,1,AM,46,18
331220,1,AM,47,29
331220,1,AM,69,54
331220,1,AM,71,7
331220,1,PM,14,4
331220,1,PM,16,2
331220,1,PM,20,1
331220,1,PM,31,33
331220,1,PM,42,13
331220,1,PM,47,2
331220,1,PM,69,12
331220,1,PM,71,2
331220,2,AM,14,40
331220,2,AM,16,3
331220,2,AM,17,3
331220,2,AM,19,9
331220,2,AM,20,11
331220,2,AM,21,76
331220,2,AM,31,47
331220,2,AM,37,1
331220,2,AM,38,8
331220,2,AM,40,14
331220,2,AM,42,19
331220,2,AM,46,21
331220,2,AM,47,25
331220,2,AM,69,128
331220,2,AM,71,4
331220,2,PM,14,14
331220,2,PM,16,1
331220,2,PM,17,1
331220,2,PM,19,1
331220,2,PM,31,49
331220,2,PM,37,2
331220,2,PM,38,1
331220,2,PM,40,3
331220,2,PM,42,6
331220,2,PM,46,1
331220,2,PM,47,9
331220,2,PM,69,13
331220,2,PM,71,2
331220,3,AM,14,53
331220,3,AM,16,10
331220,3,AM,17,8
331220,3,AM,19,9
331220,3,AM,20,13
331220,3,AM,21,28
331220,3,AM,31,76
331220,3,AM,38,13
331220,3,AM,40,12
331220,3,AM,42,11
331220,3,AM,46,26
331220,3,AM,47,28
331220,3,AM,69,114
331220,3,AM,71,6
331220,3,PM,14,1
331220,3,PM,17,1
331220,3,PM,31,28
331220,3,PM,40,1
331220,3,PM,42,6
331220,3,PM,47,5
331220,3,PM,69,6
331220,4,AM,14,78
331220,4,AM,16,4
331220,4,AM,17,8
331220,4,AM,19,8
331220,4,AM,20,9
331220,4,AM,21,83
331220,4,AM,31,67
331220,4,AM,37,6
331220,4,AM,38,8
331220,4,AM,40,10
331220,4,AM,42,6
331220,4,AM,46,25
331220,4,AM,47,52
331220,4,AM,69,116
331220,4,AM,71,2
331220,4,PM,14,2
331220,4,PM,19,3
331220,4,PM,31,12
331220,4,PM,38,2
331220,4,PM,40,2
331220,4,PM,42,4
331220,4,PM,46,1
331220,4,PM,47,6
331220,4,PM,69,3
331220,5,AM,14,79
331220,5,AM,16,5
331220,5,AM,17,3
331220,5,AM,19,9
331220,5,AM,20,17
331220,5,AM,21,85
331220,5,AM,31,75
331220,5,AM,37,3
331220,5,AM,38,8
331220,5,AM,40,10
331220,5,AM,42,3
331220,5,AM,46,16
331220,5,AM,47,35
331220,5,AM,69,98
331220,5,AM,71,2
331220,5,PM,31,4
331220,5,PM,69,2
331220,6,AM,14,10
331220,6,AM,16,3
331220,6,AM,17,4
331220,6,AM,19,1
331220,6,AM,20,11
331220,6,AM,21,9
331220,6,AM,31,20
331220,6,AM,38,8
331220,6,AM,40,7
331220,6,AM,42,1
331220,6,AM,46,6
331220,6,AM,47,16
331220,6,AM,69,8
331220,6,AM,71,1
331220,6,PM,14,4
331220,6,PM,17,1
331220,6,PM,31,1
331220,6,PM,37,1
331220,6,PM,40,6
331220,6,PM,46,3
331220,6,PM,47,1
331220,7,AM,14,15
331220,7,AM,17,8
331220,7,AM,19,8
331220,7,AM,40,14
331220,7,AM,46,7
331220,7,AM,71,2
331220,7,PM,14,49
331220,7,PM,16,5
331220,7,PM,17,14
331220,7,PM,19,16
331220,7,PM,20,7
331220,7,PM,40,46
331220,7,PM,46,20
331220,7,PM,71,3
331510,1,PM,14,188
331510,1,PM,16,79
331510,1,PM,17,22
331510,1,PM,19,34
331510,1,PM,20,96
331510,1,PM,31,48
331510,1,PM,37,8
331510,1,PM,38,13
331510,1,PM,40,39
331510,1,PM,46,14
331510,1,PM,69,13
331510,1,PM,71,7
331510,2,AM,14,1
331510,2,AM,16,2
331510,2,AM,20,2
331510,2,AM,21,2
331510,2,AM,40,1
331510,2,PM,14,181
331510,2,PM,16,85
331510,2,PM,17,21
331510,2,PM,19,32
331510,2,PM,20,121
331510,2,PM,21,3
331510,2,PM,31,46
331510,2,PM,37,7
331510,2,PM,38,13
331510,2,PM,40,29
331510,2,PM,46,17
331510,2,PM,69,5
331510,2,PM,71,10
331510,3,PM,14,173
331510,3,PM,16,85
331510,3,PM,17,17
331510,3,PM,19,33
331510,3,PM,20,97
331510,3,PM,31,41
331510,3,PM,37,17
331510,3,PM,38,11
