issuer_code,day_week,day_period,violation_code,count
330069,2,AM,69,136
330069,2,PM,14,6
330069,2,PM,17,2
330069,2,PM,31,5
330069,2,PM,38,4
330069,2,PM,40,1
330069,2,PM,42,5
330069,2,PM,46,2
330069,2,PM,47,15
330069,2,PM,69,26
330069,3,AM,14,55
330069,3,AM,17,3
330069,3,AM,19,4
330069,3,AM,31,11
330069,3,AM,37,1
330069,3,AM,38,12
330069,3,AM,40,4
330069,3,AM,42,17
330069,3,AM,46,9
330069,3,AM,47,48
330069,3,AM,69,147
330069,3,PM,14,1
330069,3,PM,17,1
330069,3,PM,19,1
330069,3,PM,31,4
330069,3,PM,40,1
330069,3,PM,42,1
330069,3,PM,46,3
330069,3,PM,47,7
330069,3,PM,69,29
330069,4,AM,14,41
330069,4,AM,17,3
330069,4,AM,19,3
330069,4,AM,31,12
330069,4,AM,38,18
330069,4,AM,40,6
330069,4,AM,42,8
330069,4,AM,46,15
330069,4,AM,47,51
330069,4,AM,69,127
330069,4,PM,14,4
330069,4,PM,31,2
330069,4,PM,38,4
330069,4,PM,40,2
330069,4,PM,42,4
330069,4,PM,47,12
330069,4,PM,69,30
330069,5,AM,14,59
330069,5,AM,17,3
330069,5,AM,19,4
330069,5,AM,20,2
330069,5,AM,31,7
330069,5,AM,38,12
330069,5,AM,40,8
330069,5,AM,42,13
330069,5,AM,46,14
330069,5,AM,47,43
330069,5,AM,69,154
330069,5,PM,14,12
330069,5,PM,31,5
330069,5,PM,38,6
330069,5,PM,40,4
330069,5,PM,42,8
330069,5,PM,46,5
330069,5,PM,47,19
330069,5,PM,69,37
330551,1,PM,14,5
330551,1,PM,16,206
330551,1,PM,17,3
330551,1,PM,19,3
330551,1,PM,20,28
330551,1,PM,37,13
330551,1,PM,38,5
330551,1,PM,40,10
330551,1,PM,46,5
330551,1,PM,71,15
330551,2,AM,16,1
330551,2,AM,17,1
330551,2,AM,20,29
330551,2,PM,14,7
330551,2,PM,16,167
330551,2,PM,17,5
330551,2,PM,19,3
330551,2,PM,20,47
330551,2,PM,37,6
330551,2,PM,38,5
330551,2,PM,40,14
330551,2,PM,46,4
330551,2,PM,71,11
330551,3,AM,14,1
330551,3,AM,16,2
330551,3,AM,20,16
330551,3,AM,38,1
330551,3,PM,14,13
330551,3,PM,16,203
330551,3,PM,17,6
330551,3,PM,20,59
330551,3,PM,37,8
330551,3,PM,38,9
330551,3,PM,40,12
330551,3,PM,46,2
330551,3,PM,71,6
330551,4,AM,14,5
330551,4,AM,16,41
330551,4,AM,17,2
330551,4,AM,20,138
330551,4,AM,21,84
330551,4,AM,38,3
330551,4,AM,40,1
330551,4,AM,71,7
330551,4,PM,14,2
330551,4,PM,16,142
330551,4,PM,17,7
330551,4,PM,19,1
330551,4,PM,20,21
330551,4,PM,37,12
330551,4,PM,38,9
330551,4,PM,40,7
330551,4,PM,46,4
330551,4,PM,71,10
330551,5,AM,14,2
330551,5,AM,16,29
330551,5,AM,17,4
330551,5,AM,20,81
330551,5,AM,21,52
330551,5,AM,38,1
330551,5,AM,40,2
330551,5,AM,71,8
330551,5,PM,14,2
330551,5,PM,16,84
330551,5,PM,17,1
330551,5,PM,19,1
330551,5,PM,20,11
330551,5,PM,37,5
330551,5,PM,38,4
330551,5,PM,40,4
330551,5,PM,71,4
330593,1,AM,14,63
330593,1,AM,19,5
330593,1,AM,20,1
330593,1,AM,31,17
330593,1,AM,37,2
330593,1,AM,38,1
330593,1,AM,40,1
330593,1,AM,42,50
330593,1,AM,47,24
330593,1,AM,69,139
330593,1,AM,71,8
330593,1,PM,14,8
330593,1,PM,31,6
330593,1,PM,37,3
330593,1,PM,38,3
330593,1,PM,40,2
330593,1,PM,42,12
330593,1,PM,47,2
330593,1,PM,69,23
330593,1,PM,71,1
330593,2,AM,14,66
330593,2,AM,17,2
330593,2,AM,19,1
330593,2,AM,31,17
330593,2,AM,37,1
330593,2,AM,38,5
330593,2,AM,40,2
330593,2,AM,42,55
330593,2,AM,47,32
330593,2,AM,69,150
330593,2,AM,71,4
330593,2,PM,14,2
330593,2,PM,19,1
330593,2,PM,31,4
